,Date,Open,High,Low,Close,Volume
81,4/28/2022,49.009998,49.915001,47.959999,49.110001,43816868
82,4/29/2022,49.450001,50.25,48.740002,49.02,38250854
83,5/2/2022,48.700001,49.759998,48.57,49.139999,32608086
84,5/3/2022,49.150002,49.48,48.75,48.869999,24773030
85,5/4/2022,48.799999,49.25,48.34,49.060001,28442976
86,5/5/2022,50.529999,51.209999,49.810001,50.360001,60506940
87,5/6/2022,49.959999,50.290001,49.5,49.799999,23446331
88,5/9/2022,49.299999,49.439999,47.625,47.959999,37706836
89,5/10/2022,47.91,48.360001,46.5,47.259998,23816665
90,5/11/2022,46.950001,48.150002,45.799999,46.09,24815127
91,5/12/2022,45.009998,47.470001,43.330002,45.080002,37682245
92,5/13/2022,40.400002,42,40.009998,40.720001,101830362
93,5/16/2022,39.169998,39.289902,37.32,37.389999,52310654
94,5/17/2022,37,38.869999,36.849998,38.32,44990281
95,5/18/2022,37.419998,38.720001,36.575001,36.849998,24010289
96,5/19/2022,36.760201,38.5,36.200001,37.290001,32000301
97,5/20/2022,37.77,38.310001,36.75,38.290001,23637863
98,5/23/2022,37.77,38,36.939999,37.860001,13601346
99,5/24/2022,36.939999,37.202599,35.400002,35.759998,22662972
100,5/25/2022,36.060001,37.369999,36.02,37.16,23262766
101,5/26/2022,38.52,39.589901,38.23,39.52,22968398
102,5/27/2022,39.57,40.77,39.48,40.169998,16789855
103,5/31/2022,40.07,40.349998,39.419998,39.599998,11579046
104,6/1/2022,39.799999,40.259998,39.240002,39.299999,11117247
105,6/2/2022,39.07,40.465,38.810001,39.91,11696029
106,6/3/2022,40.450001,41.040001,39.974998,40.16,18269884
107,6/6/2022,38.16,39.939999,37.913799,39.560001,26119634
108,6/7/2022,39.084999,40.240002,38.950001,40.130001,15808735
109,6/8/2022,39.959999,41.290001,39.830002,40.439999,15292960
110,6/9/2022,40.25,40.540001,39.529999,39.529999,7978363
111,6/10/2022,39.52,39.630001,38.889999,38.98,10534875
112,6/13/2022,38,38.580002,36.904999,37.029999,11599750
113,6/14/2022,37.950001,38.8699,37.189999,37.220001,13408129
114,6/15/2022,37.5,38.509998,37.240002,37.990002,14717735
115,6/16/2022,38.610001,38.712101,36.959999,37.360001,20732515
116,6/17/2022,37.32,38.049999,37.02,37.779999,25049181
117,6/21/2022,38.169998,39.080002,37.654999,38.91,16902230
118,6/22/2022,38.57,39.3372,38.409302,38.529999,10831346
119,6/23/2022,38.759998,39.080002,38.25,38.68,6327584
120,6/24/2022,39.009998,39.919899,38.869999,39.41,18090592
121,6/27/2022,39.669998,39.880001,38.895,39.189999,7147758
122,6/28/2022,39.209999,39.705002,38.650002,38.790001,6059297
123,6/29/2022,38.759998,38.779999,37.639999,37.799999,7178574
124,6/30/2022,37.529999,38.02,36.990002,37.389999,7133074
125,7/1/2022,37.380001,38.240002,37.080002,38.23,6305717
126,7/5/2022,38.18,38.639999,37.248001,38.380001,8162005
127,7/6/2022,38.209999,38.450001,37.7374,38.209999,4870258
128,7/7/2022,38.32,39.509998,38.32,38.790001,13214877
129,7/8/2022,37.509998,37.549999,36.799999,36.810001,29822940
130,7/11/2022,34.599998,34.900002,32.549999,32.650002,67259339
131,7/12/2022,32.759998,34.389999,32.52,34.060001,29539372
132,7/13/2022,34.950001,37.16,34.799999,36.75,50267711
133,7/14/2022,36.59,37.099998,36.189999,36.290001,18951620
134,7/15/2022,36.619999,37.771999,36.27,37.740002,14809322
135,7/18/2022,37.580002,38.755001,37.34,38.41,15147525
136,7/19/2022,38.509998,40.5,38.5,39.490002,37491773
137,7/20/2022,39.560001,40.005001,38.82,39.599998,13946408
138,7/21/2022,39.5,40.099998,39.119999,39.52,11409767
139,7/22/2022,38.900002,40.18,38.709999,39.84,25188675
140,7/25/2022,39.23,39.599998,38.7355,39.240002,10395602
141,7/26/2022,39.080002,39.529999,38.889999,39.34,12637219
142,7/27/2022,39.580002,40.110001,39.131199,39.849998,11598069
143,7/28/2022,39.759998,40.900002,39.580601,40.889999,10153642
144,7/29/2022,40.799999,41.779999,40.75,41.610001,11787736
145,8/1/2022,41.119999,41.349998,40.459999,40.889999,14094775
146,8/2/2022,40.75,41.27,40.650002,40.98,5244403
147,8/3/2022,41,41.389999,40.889999,41,9348811
148,8/4/2022,41,41.23,40.549999,41.060001,6169363
149,8/5/2022,40.810001,42.66,40.599998,42.52,16048236
150,8/8/2022,42.939999,43.544998,42.869999,42.939999,8130857
151,8/9/2022,42.779999,43.115002,42.600899,42.830002,8309624
152,8/10/2022,44.52,44.650002,43.827499,44.43,14507171
153,8/11/2022,44.369999,44.630001,43.634998,43.939999,7254851
154,8/12/2022,44.009998,44.599998,43.93,44.259998,7857453
155,8/15/2022,44.189999,44.775002,43.958,44.5,8955100
156,8/16/2022,44.34,45,44.240002,44.400002,7924144
157,8/17/2022,44.25,44.509998,43.849998,43.990002,6111904
158,8/18/2022,44.119999,44.439999,43.810001,43.860001,6289503
159,8/19/2022,43.52,44.009998,43.349998,43.990002,8103532
160,8/22/2022,43.5,43.66,42.810001,43.009998,7904473
161,8/23/2022,41.360001,41.939999,39.848099,39.860001,26037265
162,8/24/2022,39.279999,40.990002,38.77,40.790001,17136655
163,8/25/2022,40.5,41.490002,40.169998,41.049999,10349518
164,8/26/2022,41.150002,41.199402,40.23,40.459999,10144129
165,8/29/2022,40.220001,40.595001,39.990002,40.040001,6695767
166,8/30/2022,39.869999,40.09,39.07,39.32,9617948
167,8/31/2022,39.98,40.049999,38.595001,38.75,16862823
168,9/1/2022,38.639999,38.919998,38.439999,38.619999,8607759
169,9/2/2022,38.860001,39.005001,38.290001,38.630001,7925508
170,9/6/2022,38.619999,39.09,38.060001,38.650002,11275507
171,9/7/2022,39.299999,41.25,39.299999,41.200001,18293674
